11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.013792441358123	0.000000000000000	0.036353163301226	0.000000000000000	0.023168741399725	0.000000000000000	0.014720471055074	0.000000000000000	0.033857083426670	0.000000000000000	0.007936253960127	0.000000000000000	0.032225031200998	0.000000000000000	-0.007232231431406	0.000000000000000	-0.008896284681110	0.000000000000000	0.008896284681110	0.000000000000000	0.033889084450702	0.000000000000000	-0.021504688150021	0.000000000000000	0.009568306185798	0.000000000000000	0.012672405516977	0.000000000000000	-0.009632308233863	0.000000000000000	0.000896028672918	0.000000000000000	-0.008000256008192	0.000000000000000	-0.001312041985344	0.000000000000000	0.001248039937278	0.000000000000000	0.009536305161765	0.000000000000000	0.053089698870364	0.000000000000000	0.018528592914973	0.000000000000000	-0.005280168965407	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	0.024640788505232	0.000000000000000	0.009312297993536	0.000000000000000	0.007040225287209	0.000000000000000	0.019872635924350	0.000000000000000	0.011328362507600	0.000000000000000	0.028896924701590	0.000000000000000	0.017664565266089	0.000000000000000	0.032161029152933	0.000000000000000	-0.006624211974783	0.000000000000000	0.007488239623668	0.000000000000000	0.007776248839963	0.000000000000000	0.003776120835867	0.000000000000000	0.012800409613108	0.000000000000000	0.017152548881564	0.000000000000000	0.004320138244424	0.000000000000000	0.002656084994720	0.000000000000000	0.006688214022849	0.000000000000000	0.004128132100227	0.000000000000000	-0.000032001024033	0.000000000000000	0.000736023552754	0.000000000000000	-0.016032513040417	0.000000000000000	0.005056161797178	0.000000000000000	0.019040609299498	0.000000000000000	0.005632180229767	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	0.010336330762584	0.000000000000000	0.004384140292489	0.000000000000000	0.010528336906781	0.000000000000000	0.015616499727991	0.000000000000000	0.031649012768409	0.000000000000000	0.038721239079651	0.000000000000000	0.051713654836955	0.000000000000000	0.025568818202182	0.000000000000000	0.011904380940190	0.000000000000000	-0.007456238599635	0.000000000000000	0.024576786457167	0.000000000000000	0.028800921629492	0.000000000000000	-0.009600307209831	0.000000000000000	0.019648628756120	0.000000000000000	0.026304841754936	0.000000000000000	0.000256008192262	0.000000000000000	0.004992159749112	0.000000000000000	0.005696182277833	0.000000000000000	0.025824826394445	0.000000000000000	0.018976607251432	0.000000000000000	0.034049089570866	0.000000000000000	0.042305353771321	0.000000000000000	-0.011072354315338	0.000000000000000	-0.005024160773145	0.000000000000000	0.002272072706327	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	0.018464590866908	0.000000000000000	0.006912221191078	0.000000000000000	0.010112323594355	0.000000000000000	0.007616243719799	0.000000000000000	0.009504304137732	0.000000000000000	0.000000000000000	0.000000000000000	0.030048961566770	0.000000000000000	0.022016704534545	0.000000000000000	0.032577042465359	0.000000000000000	-0.014848475151205	0.000000000000000	0.015872507920253	0.000000000000000	0.002272072706327	0.000000000000000	0.009312297993536	0.000000000000000	-0.004128132100227	0.000000000000000	0.014400460814746	0.000000000000000	0.003104099331179	0.000000000000000	-0.029472943134180	0.000000000000000	0.007680245767865	0.000000000000000	0.001152036865180	0.000000000000000	-0.007200230407373	0.000000000000000	-0.012416397324714	0.000000000000000	-0.006336202758488	0.000000000000000	-0.012704406541009	0.000000000000000	0.006208198662357	0.000000000000000	0.003904124931998	0.000000000000000	0.000384012288393	0.000000000000000
9.0	51	-0.004608147460719	0.000000000000000	0.017088546833499	0.000000000000000	-0.014752472079107	0.000000000000000	0.000480015360492	0.000000000000000	0.058881884220295	0.000000000000000	0.026400844827034	0.000000000000000	0.016224519184614	0.000000000000000	0.041473327146469	0.000000000000000	0.053921725495216	0.000000000000000	-0.029120931869820	0.000000000000000	0.045857467438958	0.000000000000000	0.020384652308874	0.000000000000000	0.020224647188710	0.000000000000000	0.016832538641237	0.000000000000000	0.019616627732087	0.000000000000000	0.031905020960671	0.000000000000000	0.018592594963039	0.000000000000000	0.018176581650613	0.000000000000000	0.062433997887932	0.000000000000000	-0.005376172037505	0.000000000000000	0.009344299017569	0.000000000000000	0.018400588818842	0.000000000000000	0.037729207334635	0.000000000000000	0.004672149508784	0.000000000000000	-0.013344427021665	0.000000000000000	-0.016192518160581	0.000000000000000	0.005120163845243
8.5	50	0.000000000000000	-0.001472047105507	0.000000000000000	0.006432205830587	0.000000000000000	0.004928157701046	0.000000000000000	0.017472559121892	0.000000000000000	0.027680885788345	0.000000000000000	0.036001152036865	0.000000000000000	0.023360747543921	0.000000000000000	0.025792825370412	0.000000000000000	0.017088546833499	0.000000000000000	0.004672149508784	0.000000000000000	0.008576274440782	0.000000000000000	0.005184165893309	0.000000000000000	0.016064514064450	0.000000000000000	0.006112195590259	0.000000000000000	0.011296361483567	0.000000000000000	-0.003296105475375	0.000000000000000	-0.016416525328811	0.000000000000000	0.003200102403277	0.000000000000000	-0.007008224263176	0.000000000000000	-0.007680245767865	0.000000000000000	-0.015968510992352	0.000000000000000	-0.004960158725079	0.000000000000000	0.003936125956031	0.000000000000000	0.017632564242056	0.000000000000000	-0.001728055297770	0.000000000000000	0.005440174085571	0.000000000000000
8.0	49	0.003168101379244	0.000000000000000	0.005184165893309	0.000000000000000	0.032929053729719	0.000000000000000	0.053889724471183	0.000000000000000	0.019968638996448	0.000000000000000	0.007392236551570	0.000000000000000	-0.013504432141829	0.000000000000000	0.025120803865724	0.000000000000000	0.036033153060898	0.000000000000000	0.004800153604915	0.000000000000000	0.025408813082019	0.000000000000000	0.017664565266089	0.000000000000000	0.019904636948382	0.000000000000000	0.028512912413197	0.000000000000000	0.016384524304778	0.000000000000000	0.006400204806554	0.000000000000000	0.020992671765496	0.000000000000000	0.010624339978879	0.000000000000000	0.048545553457711	0.000000000000000	0.016512528400909	0.000000000000000	0.016352523280745	0.000000000000000	0.040833306665813	0.000000000000000	0.020096643092579	0.000000000000000	0.003424109571506	0.000000000000000	-0.004480143364588	0.000000000000000	-0.002720087042785	0.000000000000000	-0.009632308233863
7.5	48	0.000000000000000	0.013120419853435	0.000000000000000	0.022752728087299	0.000000000000000	0.004448142340555	0.000000000000000	0.035329130532177	0.000000000000000	0.016512528400909	0.000000000000000	0.006848219143013	0.000000000000000	0.023968767000544	0.000000000000000	0.029632948254344	0.000000000000000	0.064354059329899	0.000000000000000	-0.011840378892125	0.000000000000000	0.006912221191078	0.000000000000000	0.004736151556850	0.000000000000000	-0.006656212998816	0.000000000000000	-0.004896156677014	0.000000000000000	-0.004928157701046	0.000000000000000	0.027424877596083	0.000000000000000	0.005280168965407	0.000000000000000	-0.009664309257896	0.000000000000000	-0.000192006144197	0.000000000000000	-0.006208198662357	0.000000000000000	0.004576146436686	0.000000000000000	0.001600051201638	0.000000000000000	-0.008672277512880	0.000000000000000	0.006080194566226	0.000000000000000	0.003552113667637	0.000000000000000	0.006464206854619	0.000000000000000
7.0	47	0.013248423949566	0.000000000000000	0.002880092162949	0.000000000000000	-0.001120035841147	0.000000000000000	-0.000576018432590	0.000000000000000	-0.002976095235048	0.000000000000000	-0.008000256008192	0.000000000000000	0.003648116739736	0.000000000000000	0.025952830490576	0.000000000000000	0.050593618995808	0.000000000000000	-0.008512272392717	0.000000000000000	0.018080578578515	0.000000000000000	0.036161157157029	0.000000000000000	0.056065794105411	0.000000000000000	0.015488495631860	0.000000000000000	0.041985343530993	0.000000000000000	0.007232231431406	0.000000000000000	0.025632820250248	0.000000000000000	0.006400204806554	0.000000000000000	0.030400972831131	0.000000000000000	0.028704918557394	0.000000000000000	0.015200486415565	0.000000000000000	0.044801433645877	0.000000000000000	0.026496847899133	0.000000000000000	-0.024032769048610	0.000000000000000	-0.002752088066818	0.000000000000000	-0.021376684053890	0.000000000000000	-0.004576146436686
6.5	46	0.000000000000000	0.027744887836411	0.000000000000000	-0.007744247815930	0.000000000000000	-0.019360619539825	0.000000000000000	0.004000128004096	0.000000000000000	0.018944606227399	0.000000000000000	-0.008992287753208	0.000000000000000	0.008320266248520	0.000000000000000	0.027744887836411	0.000000000000000	0.015232487439598	0.000000000000000	-0.000960030720983	0.000000000000000	0.003456110595539	0.000000000000000	-0.003136100355211	0.000000000000000	-0.002304073730359	0.000000000000000	0.002016064514064	0.000000000000000	-0.000192006144197	0.000000000000000	0.003584114691670	0.000000000000000	-0.002432077826490	0.000000000000000	0.005120163845243	0.000000000000000	0.000864027648885	0.000000000000000	-0.004032129028129	0.000000000000000	-0.012928413709239	0.000000000000000	0.002336074754392	0.000000000000000	-0.001824058369868	0.000000000000000	0.010880348171141	0.000000000000000	0.005728183301866	0.000000000000000	0.000096003072098	0.000000000000000
6.0	45	0.021120675861628	0.000000000000000	-0.014080450574418	0.000000000000000	-0.003680117763768	0.000000000000000	0.008960286729175	0.000000000000000	0.044193414189254	0.000000000000000	0.018592594963039	0.000000000000000	0.041473327146469	0.000000000000000	0.035873147940734	0.000000000000000	0.036993183781881	0.000000000000000	0.011328362507600	0.000000000000000	-0.005216166917341	0.000000000000000	0.074018368587795	0.000000000000000	0.012864411661173	0.000000000000000	0.019104611347563	0.000000000000000	0.028960926749656	0.000000000000000	0.023104739351659	0.000000000000000	0.032993055777785	0.000000000000000	0.006656212998816	0.000000000000000	0.026080834586707	0.000000000000000	0.030208966686934	0.000000000000000	-0.007232231431406	0.000000000000000	0.043809401900861	0.000000000000000	0.025088802841691	0.000000000000000	-0.025696822298314	0.000000000000000	-0.007776248839963	0.000000000000000	-0.014208454670549	0.000000000000000	0.014528464910877
5.5	44	0.000000000000000	0.017664565266089	0.000000000000000	0.003136100355211	0.000000000000000	0.031040993311786	0.000000000000000	0.010944350219207	0.000000000000000	0.022240711702774	0.000000000000000	0.017760568338187	0.000000000000000	0.027936893980607	0.000000000000000	0.026432845851067	0.000000000000000	0.023968767000544	0.000000000000000	0.008032257032225	0.000000000000000	0.003776120835867	0.000000000000000	-0.000896028672918	0.000000000000000	-0.004000128004096	0.000000000000000	-0.005760184325898	0.000000000000000	-0.003936125956031	0.000000000000000	-0.008544273416749	0.000000000000000	-0.003584114691670	0.000000000000000	-0.000768024576786	0.000000000000000	-0.001440046081475	0.000000000000000	-0.005728183301866	0.000000000000000	-0.000384012288393	0.000000000000000	-0.021760696342283	0.000000000000000	0.000544017408557	0.000000000000000	-0.002656084994720	0.000000000000000	-0.001824058369868	0.000000000000000	-0.000544017408557	0.000000000000000
5.0	43	0.015488495631860	0.000000000000000	-0.004768152580883	0.000000000000000	0.017920573458351	0.000000000000000	0.035585138724439	0.000000000000000	0.060769944638228	0.000000000000000	0.029056929821754	0.000000000000000	0.014528464910877	0.000000000000000	0.040961310761944	0.000000000000000	-0.002688086018753	0.000000000000000	0.024704790553298	0.000000000000000	0.003968126980063	0.000000000000000	0.022304713750840	0.000000000000000	0.049825594419021	0.000000000000000	0.052193670197446	0.000000000000000	0.044961438766041	0.000000000000000	0.026560849947198	0.000000000000000	0.042913373227943	0.000000000000000	0.045505456174598	0.000000000000000	0.024640788505232	0.000000000000000	0.035201126436046	0.000000000000000	0.032097027104867	0.000000000000000	0.037217190950110	0.000000000000000	0.039457262632404	0.000000000000000	-0.029504944158213	0.000000000000000	-0.015136484367500	0.000000000000000	0.000672021504688	0.000000000000000	-0.007136228359307
4.5	42	0.000000000000000	0.023936765976511	0.000000000000000	0.019296617491760	0.000000000000000	0.016032513040417	0.000000000000000	0.035553137700406	0.000000000000000	0.017024544785433	0.000000000000000	0.025696822298314	0.000000000000000	0.032577042465359	0.000000000000000	0.012416397324714	0.000000000000000	0.033601075234408	0.000000000000000	0.019744631828219	0.000000000000000	-0.003936125956031	0.000000000000000	-0.005760184325898	0.000000000000000	0.010624339978879	0.000000000000000	-0.007808249863996	0.000000000000000	0.001536049153573	0.000000000000000	-0.002560081922622	0.000000000000000	-0.004672149508784	0.000000000000000	-0.009216294921437	0.000000000000000	0.001664053249704	0.000000000000000	0.000928029696950	0.000000000000000	0.005408173061538	0.000000000000000	0.002368075778425	0.000000000000000	0.001216038913245	0.000000000000000	0.004928157701046	0.000000000000000	-0.001632052225671	0.000000000000000	-0.011936381964223	0.000000000000000
4.0	41	0.027136868379788	0.000000000000000	-0.007168229383340	0.000000000000000	0.026624851995264	0.000000000000000	0.029440942110148	0.000000000000000	0.034049089570866	0.000000000000000	0.042209350699222	0.000000000000000	0.062626004032129	0.000000000000000	0.053409709110692	0.000000000000000	0.032513040417293	0.000000000000000	0.031265000480015	0.000000000000000	0.036641172517521	0.000000000000000	0.033249063970047	0.000000000000000	0.063714038849243	0.000000000000000	0.079330538577234	0.000000000000000	0.066082114627668	0.000000000000000	0.031425005600179	0.000000000000000	0.021920701462447	0.000000000000000	0.036417165349291	0.000000000000000	0.026144836634772	0.000000000000000	0.013312425997632	0.000000000000000	0.047073506352203	0.000000000000000	0.008288265224487	0.000000000000000	0.013824442382156	0.000000000000000	-0.023456750616020	0.000000000000000	-0.012352395276649	0.000000000000000	-0.011520368651797	0.000000000000000	-0.017056545809466
3.5	40	0.000000000000000	0.021472687125988	0.000000000000000	0.015616499727991	0.000000000000000	0.011648372747928	0.000000000000000	0.010240327690486	0.000000000000000	0.026720855067362	0.000000000000000	0.029056929821754	0.000000000000000	0.021536689174054	0.000000000000000	0.021760696342283	0.000000000000000	-0.009280296969503	0.000000000000000	-0.025408813082019	0.000000000000000	0.002592082946654	0.000000000000000	0.000416013312426	0.000000000000000	-0.002112067586163	0.000000000000000	-0.002720087042785	0.000000000000000	-0.003936125956031	0.000000000000000	0.005696182277833	0.000000000000000	0.004000128004096	0.000000000000000	-0.010976351243240	0.000000000000000	-0.003616115715703	0.000000000000000	-0.003648116739736	0.000000000000000	-0.003872123907965	0.000000000000000	-0.002592082946654	0.000000000000000	0.017344555025761	0.000000000000000	0.010592338954847	0.000000000000000	-0.001792057345835	0.000000000000000	-0.000160005120164	0.000000000000000
3.0	39	0.005856187397997	0.000000000000000	-0.030208966686934	0.000000000000000	0.067586162757208	0.000000000000000	0.021472687125988	0.000000000000000	0.070722263112420	0.000000000000000	0.014240455694582	0.000000000000000	0.035265128484111	0.000000000000000	0.025600819226215	0.000000000000000	-0.012800409613108	0.000000000000000	0.006976223239144	0.000000000000000	0.009440302089667	0.000000000000000	0.034945118243784	0.000000000000000	0.036577170469455	0.000000000000000	0.065090082882652	0.000000000000000	0.069922237511600	0.000000000000000	0.058081858619476	0.000000000000000	0.038369227815290	0.000000000000000	0.017248551953663	0.000000000000000	0.032865051681654	0.000000000000000	0.020416653332907	0.000000000000000	0.028544913437230	0.000000000000000	0.024192774168773	0.000000000000000	0.003936125956031	0.000000000000000	-0.004576146436686	0.000000000000000	-0.005056161797178	0.000000000000000	-0.002112067586163	0.000000000000000	0.003328106499408
2.5	38	0.000000000000000	-0.001696054273737	0.000000000000000	0.006496207878652	0.000000000000000	-0.006720215046882	0.000000000000000	0.007872251912061	0.000000000000000	0.018656597011104	0.000000000000000	0.022912733207463	0.000000000000000	0.021856699414381	0.000000000000000	0.008384268296585	0.000000000000000	0.024704790553298	0.000000000000000	0.002144068610196	0.000000000000000	0.000640020480655	0.000000000000000	0.007520240647701	0.000000000000000	0.000576018432590	0.000000000000000	0.000352011264360	0.000000000000000	-0.001600051201638	0.000000000000000	-0.001152036865180	0.000000000000000	-0.016320522256712	0.000000000000000	0.005568178181702	0.000000000000000	0.006048193542193	0.000000000000000	0.001344043009376	0.000000000000000	-0.011232359435502	0.000000000000000	-0.000608019456623	0.000000000000000	0.011136356363404	0.000000000000000	0.004512144388620	0.000000000000000	-0.004256136196358	0.000000000000000	-0.011584370699862	0.000000000000000
2.0	37	0.016352523280745	0.000000000000000	0.005632180229767	0.000000000000000	0.021312682005824	0.000000000000000	0.025632820250248	0.000000000000000	0.016672533521073	0.000000000000000	0.034273096739096	0.000000000000000	0.031457006624212	0.000000000000000	0.037537201190438	0.000000000000000	0.035233127460079	0.000000000000000	-0.003520112643605	0.000000000000000	0.004512144388620	0.000000000000000	0.024512784409101	0.000000000000000	0.056353803321706	0.000000000000000	0.057345835066722	0.000000000000000	0.067426157637044	0.000000000000000	0.044481423405549	0.000000000000000	0.018176581650613	0.000000000000000	0.029184933917885	0.000000000000000	0.030624979999360	0.000000000000000	0.014592466958943	0.000000000000000	0.018112579602547	0.000000000000000	0.007456238599635	0.000000000000000	-0.008704278536913	0.000000000000000	-0.004672149508784	0.000000000000000	0.002656084994720	0.000000000000000	0.002848091138916	0.000000000000000	0.003104099331179
1.5	36	0.000000000000000	0.021792697366316	0.000000000000000	0.002336074754392	0.000000000000000	0.019296617491760	0.000000000000000	0.019072610323530	0.000000000000000	0.014496463886844	0.000000000000000	0.019872635924350	0.000000000000000	0.003872123907965	0.000000000000000	0.029696950302410	0.000000000000000	0.024480783385068	0.000000000000000	-0.000256008192262	0.000000000000000	-0.000160005120164	0.000000000000000	-0.003424109571506	0.000000000000000	-0.005504176133636	0.000000000000000	-0.002176069634228	0.000000000000000	0.003648116739736	0.000000000000000	-0.007840250888028	0.000000000000000	-0.013536433165861	0.000000000000000	-0.004896156677014	0.000000000000000	0.004448142340555	0.000000000000000	0.002528080898589	0.000000000000000	-0.004800153604915	0.000000000000000	-0.006976223239144	0.000000000000000	0.017216550929630	0.000000000000000	0.009344299017569	0.000000000000000	-0.000096003072098	0.000000000000000	0.011520368651797	0.000000000000000
